date,county,state,fips,cases_yday,cases_today,deaths_yday,deaths_today
2020-03-25,Summit,Colorado,08117,10,9,0,0
2020-03-25,Unknown,Colorado,,18,18,2,0
2020-03-25,Unknown,Hawaii,,20,5,0,0
2020-03-25,Unknown,Missouri,,72,4,0,0
2020-03-25,Geauga,Ohio,39055,5,4,0,0
2020-03-25,Unknown,Rhode Island,,124,106,0,0
2020-03-25,Lexington,South Carolina,45063,19,18,1,1
2020-03-25,Unknown,Vermont,,23,23,5,0
2020-03-25,Rockingham,Virginia,51165,3,2,0,0
2020-03-25,Benton,Washington,53005,12,10,2,2
2020-03-25,Grant,Washington,53025,27,26,0,0
2020-03-25,Chippewa,Wisconsin,55017,2,1,0,0
2020-03-26,Manatee,Florida,12081,26,25,1,1
2020-03-26,Baker,Georgia,13007,3,1,1,1
2020-03-26,Bannock,Idaho,16005,3,2,0,0
2020-03-26,Pottawattamie,Iowa,19155,4,3,0,0
2020-03-26,Newaygo,Michigan,26123,2,1,0,0
2020-03-26,Unknown,Nevada,,90,107,4,0
2020-03-26,Wayne,North Carolina,37191,2,1,0,0
2020-03-26,Houston,Tennessee,47083,3,2,0,0
2020-03-26,Weber,Utah,49057,10,8,0,0
2020-03-26,Ohio,West Virginia,54069,2,1,0,0
2020-03-26,Preston,West Virginia,54077,2,1,0,0
2020-03-26,Fond du Lac,Wisconsin,55039,18,17,1,1
2020-03-27,Dawson,Georgia,13085,3,2,0,0
2020-03-27,Greene,Georgia,13133,2,1,0,0
2020-03-27,Laurens,Georgia,13175,8,7,0,0
2020-03-27,Unknown,Georgia,,178,217,23,5
2020-03-27,Ascension,Louisiana,22005,91,90,1,1
2020-03-27,Morehouse,Louisiana,22067,3,2,0,0
2020-03-27,Adams,Mississippi,28001,3,2,0,0
2020-03-27,Unknown,Missouri,,10,4,0,0
2020-03-27,Unknown,Nevada,,107,91,0,0
2020-03-27,Terry,Texas,48445,3,1,0,0
2020-03-27,Walker,Texas,48471,3,2,0,0
2020-03-27,Monongalia,West Virginia,54061,24,23,0,0
2020-03-28,Graham,Arizona,04009,4,2,0,0
2020-03-28,Hot Spring,Arkansas,05059,2,1,0,0
2020-03-28,Lawrence,Arkansas,05075,3,1,0,0
2020-03-28,Delta,Colorado,08029,2,1,0,0
2020-03-28,Kit Carson,Colorado,08063,2,1,0,0
2020-03-28,Troup,Georgia,13285,11,9,1,1
2020-03-28,Unknown,Georgia,,217,229,5,2
2020-03-28,Canyon,Idaho,16027,23,22,1,1
2020-03-28,Lawrence,Indiana,18093,5,4,0,0
2020-03-28,Marshall,Indiana,18099,4,3,0,0
2020-03-28,Rush,Indiana,18139,3,2,0,0
2020-03-28,Black Hawk,Iowa,19013,7,6,0,0
2020-03-28,Franklin,Kentucky,21073,3,2,0,0
2020-03-28,Jackson,Louisiana,22049,3,2,0,0
2020-03-28,Lincoln,Louisiana,22061,7,6,0,0
2020-03-28,Unknown,Louisiana,,16,12,1,2
2020-03-28,Unknown,Minnesota,,1,1,1,0
2020-03-28,Ashland,Ohio,39005,3,2,0,0
2020-03-28,Seneca,Ohio,39147,2,1,0,0
2020-03-28,Bradley,Tennessee,47011,6,5,0,0
2020-03-28,Unknown,Tennessee,,172,161,4,4
2020-03-28,Angelina,Texas,48005,2,1,0,0
2020-03-28,Snohomish,Washington,53061,913,912,23,23
2020-03-29,Lauderdale,Alabama,01077,13,12,1,1
2020-03-29,Yavapai,Arizona,04025,13,12,0,0
2020-03-29,Leon,Florida,12073,17,16,0,0
2020-03-29,Barrow,Georgia,13013,7,6,1,1
2020-03-29,Fulton,Georgia,13121,378,425,13,12
2020-03-29,Unknown,Georgia,,229,228,2,2
2020-03-29,Hendricks,Indiana,18063,36,48,2,1
2020-03-29,Unknown,Louisiana,,12,12,2,1
2020-03-29,Vermilion,Louisiana,22113,3,2,1,1
2020-03-29,Ingham,Michigan,26065,32,43,1,0
2020-03-29,Rio Arriba,New Mexico,35039,3,2,0,0
2020-03-29,Unknown,Rhode Island,,168,106,2,3
2020-03-29,Cannon,Tennessee,47015,3,2,0,0
2020-03-29,Hood,Texas,48221,3,2,0,0
2020-03-29,Lavaca,Texas,48285,3,1,0,0
2020-03-29,Unknown,Utah,,17,1,1,1
2020-03-30,Marengo,Alabama,01091,5,4,0,0
2020-03-30,Marion,Alabama,01093,10,9,0,0
2020-03-30,Washington,Alabama,01129,4,3,0,0
2020-03-30,Pike,Arkansas,05109,3,2,0,0
2020-03-30,Arapahoe,Colorado,08005,241,308,3,0
2020-03-30,Morgan,Colorado,08087,5,4,0,0
2020-03-30,Unknown,Colorado,,186,160,0,0
2020-03-30,Clay,Florida,12019,35,34,4,5
2020-03-30,Nassau,Florida,12089,8,7,0,0
2020-03-30,Unknown,Georgia,,228,114,2,2
2020-03-30,Whitfield,Georgia,13313,8,8,2,1
2020-03-30,Unknown,Hawaii,,10,8,0,0
2020-03-30,Franklin,Illinois,17055,2,1,0,0
2020-03-30,Unknown,Kentucky,,61,59,0,0
2020-03-30,Calvert,Maryland,24009,14,12,0,0
2020-03-30,Bates,Missouri,29013,2,1,0,0
2020-03-30,Greene,Missouri,29077,41,38,3,3
2020-03-30,Kansas City,Missouri,,102,100,0,0
2020-03-30,Moniteau,Missouri,29135,4,2,0,0
2020-03-30,Montgomery,Missouri,29139,3,2,0,0
2020-03-30,St. Francois,Missouri,29187,4,3,0,0
2020-03-30,Unknown,Nevada,,269,150,0,0
2020-03-30,Unknown,New Jersey,,3020,3840,21,7
2020-03-30,Clark,Ohio,39023,7,6,0,0
2020-03-30,Fairfield,Ohio,39045,14,13,0,0
2020-03-30,Abbeville,South Carolina,45001,4,3,0,0
2020-03-30,Franklin,Tennessee,47051,6,5,0,0
2020-03-30,Houston,Tennessee,47083,2,1,0,0
2020-03-30,Unknown,Tennessee,,190,101,4,9
2020-03-30,Weber,Utah,49057,37,36,0,0
2020-03-30,Grant,Washington,53025,58,62,1,0
2020-03-30,Raleigh,West Virginia,54081,4,3,0,0
2020-03-31,Elmore,Alabama,01051,13,12,0,0
2020-03-31,Houston,Alabama,01069,9,8,0,0
2020-03-31,Marshall,Alabama,01095,7,6,0,0
2020-03-31,Shelby,Alabama,01117,88,86,0,2
2020-03-31,Apache,Arizona,04001,17,16,0,0
2020-03-31,Pinal,Arizona,04021,64,62,0,0
2020-03-31,Van Buren,Arkansas,05141,20,19,1,1
2020-03-31,Park,Colorado,08093,4,3,0,0
2020-03-31,Teller,Colorado,08119,8,7,1,1
2020-03-31,Unknown,Colorado,,160,129,0,0
2020-03-31,Unknown,Connecticut,,176,77,0,2
2020-03-31,DeSoto,Florida,12027,7,7,2,1
2020-03-31,Appling,Georgia,13001,2,1,0,0
2020-03-31,Early,Georgia,13099,20,32,2,1
2020-03-31,Harris,Georgia,13145,4,3,0,0
2020-03-31,Miller,Georgia,13201,5,4,0,0
2020-03-31,Seminole,Georgia,13253,7,6,0,0
2020-03-31,Christian,Illinois,17021,19,14,0,0
2020-03-31,LaSalle,Illinois,17099,5,6,2,1
2020-03-31,St. Clair,Illinois,17163,36,43,3,2
2020-03-31,Hancock,Indiana,18059,28,26,1,2
2020-03-31,Henry,Indiana,18065,2,1,0,0
2020-03-31,Unknown,Kentucky,,59,9,0,0
2020-03-31,Unknown,Maine,,5,6,1,0
2020-03-31,Talbot,Maryland,24041,4,3,0,0
2020-03-31,Unknown,Massachusetts,,491,335,0,0
2020-03-31,Gladwin,Michigan,26051,3,2,0,0
2020-03-31,Ogemaw,Michigan,26129,4,1,0,0
2020-03-31,Quitman,Mississippi,28119,4,3,0,0
2020-03-31,Cedar,Missouri,29039,5,3,0,0
2020-03-31,Christian,Missouri,29043,12,11,0,0
2020-03-31,Cole,Missouri,29051,25,23,0,0
2020-03-31,Dunklin,Missouri,29069,6,5,0,0
2020-03-31,Unknown,Missouri,,12,1,0,0
2020-03-31,Unknown,Nevada,,150,103,0,0
2020-03-31,Unknown,New Jersey,,3840,3683,7,7
2020-03-31,Erie,New York,36029,443,438,8,8
2020-03-31,Davie,North Carolina,37059,12,11,0,0
2020-03-31,Grady,Oklahoma,40051,3,2,0,0
2020-03-31,Deschutes,Oregon,41017,25,24,0,0
2020-03-31,Harris,Texas,48201,563,680,7,6
2020-03-31,Summit,Utah,49043,176,172,0,0
2020-04-01,Orange,Florida,12095,373,458,4,3
2020-04-02,Bullock,Alabama,01011,3,2,0,0
2020-04-02,Anchorage,Alaska,02020,67,66,2,2
2020-04-02,Arkansas,Arkansas,05001,2,1,0,0
2020-04-02,Cleveland,Arkansas,05025,5,4,0,0
2020-04-02,Unknown,Arkansas,,61,10,5,1
2020-04-02,Unknown,California,,1,0,0,1
2020-04-02,Unknown,Connecticut,,185,174,2,1
2020-04-02,Coffee,Georgia,13069,11,9,0,0
2020-04-02,Hart,Georgia,13147,4,3,0,0
2020-04-02,Macon,Georgia,13193,3,2,0,0
2020-04-02,Randolph,Georgia,13243,5,4,0,0
2020-04-02,Unknown,Illinois,,58,28,0,0
2020-04-02,Des Moines,Iowa,19057,2,1,0,0
2020-04-02,Keokuk,Iowa,19107,2,1,0,0
2020-04-02,Mitchell,Kansas,20123,3,2,0,0
2020-04-02,Stevens,Kansas,20189,2,1,0,0
2020-04-02,Avoyelles,Louisiana,22009,31,34,2,1
2020-04-02,Plaquemines,Louisiana,22075,47,68,4,3
2020-04-02,Rapides,Louisiana,22079,69,77,4,3
2020-04-02,Tangipahoa,Louisiana,22105,33,42,2,1
2020-04-02,Unknown,Louisiana,,28,38,4,1
2020-04-02,Unknown,Massachusetts,,335,270,0,0
2020-04-02,Emmet,Michigan,26047,7,6,1,1
2020-04-02,Ionia,Michigan,26067,6,5,0,0
2020-04-02,Unknown,Michigan,,161,182,2,0
2020-04-02,Rice,Minnesota,27131,4,3,0,0
2020-04-02,Chickasaw,Mississippi,28017,15,14,0,1
2020-04-02,Clarke,Mississippi,28023,5,4,0,0
2020-04-02,Forrest,Mississippi,28035,27,26,0,0
2020-04-02,Holmes,Mississippi,28051,16,16,2,1
2020-04-02,Itawamba,Mississippi,28057,4,3,0,0
2020-04-02,Lee,Mississippi,28081,25,24,1,1
2020-04-02,Lowndes,Mississippi,28087,11,10,0,0
2020-04-02,Marion,Mississippi,28091,6,5,0,0
2020-04-02,Neshoba,Mississippi,28099,5,4,0,0
2020-04-02,Lewis and Clark,Montana,30049,14,13,0,0
2020-04-02,Unknown,Nebraska,,3,1,0,0
2020-04-02,Unknown,New Jersey,,4512,4866,7,4
2020-04-02,Unknown,Rhode Island,,179,105,8,9
2020-04-02,Unknown,Tennessee,,442,103,17,0
2020-04-02,Unknown,Utah,,19,16,3,4
2020-04-02,Bennington,Vermont,50003,18,17,0,0
2020-04-02,Unknown,Vermont,,23,8,9,10
2020-04-02,Powhatan,Virginia,51145,4,3,0,0
